sex,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_recid,is_violent_recid,c_length_of_stay,custody_length_of_stay,two_year_recid
1,1,5,0,0,0,0,0,0.0033589923023093,0,0,0.98,7.0,0
1,0,0,0,0,0,0,0,0.0064380685794261,1,1,10.08,10.0,1
1,2,0,0,0,1,4,0,0.0660601819454163,1,0,1.09,0.0,1
1,2,0,0,1,0,1,0,0.0106368089573128,0,0,1.28,2.0,0
1,0,5,0,0,0,2,0,0.158852344296711,0,0,1.28,2.0,0
1,0,5,0,0,0,0,1,0.1577326801959412,0,0,1.32,1.0,0
1,0,2,0,0,0,14,0,0.0043386983904828,1,0,6.3,18.0,1
1,0,5,0,0,0,3,0,0.158852344296711,0,0,0.99,12.0,0
0,0,2,0,0,0,0,1,0.1577326801959412,0,0,2.95,3.0,0
1,2,2,0,0,0,1,0,0.0001399580125962,1,1,0.99,1.0,1
1,0,2,0,0,0,0,0,0.0013995801259622,0,0,1.08,1.0,0
1,2,0,0,0,0,3,1,0.1577326801959412,1,0,4.17,4.0,1
0,0,2,0,0,0,0,1,0.1577326801959412,0,0,0.91,1.0,0
1,0,0,0,0,0,0,0,0.0100769769069279,0,0,0.6,1.0,0
0,1,2,0,0,0,1,0,0.158852344296711,1,0,14.26,169.0,1
1,0,0,0,0,0,7,0,0.0134359692092372,1,0,3.12,3.0,1
1,0,3,0,0,0,0,1,0.1577326801959412,0,0,0.24,0.0,0
1,0,0,0,0,0,3,0,0.0594821553533939,0,0,1.15,62.0,0
1,0,2,0,0,0,6,0,0.0279916025192442,1,1,1.05,1.0,1
1,0,2,0,0,0,5,0,0.0036389083275017,1,0,1.14,31.0,1
1,1,0,0,0,0,13,0,0.158852344296711,1,0,1.11,1.0,1
1,2,0,0,0,0,1,0,0.0076976906927921,1,0,3.11,1.0,1
1,0,2,0,0,0,0,1,0.0037788663400979,1,0,0.29,0.0,1
0,2,2,0,0,0,0,0,0.0009797060881735,0,0,1.15,1.0,0
1,2,3,0,0,0,1,0,0.0006997900629811,1,0,1.0,1.0,1
1,0,2,0,0,0,1,1,0.0079776067179846,0,0,1.23,1.0,0
1,0,5,0,0,0,0,1,0.1577326801959412,0,0,1.79,2.0,0
1,0,0,0,0,0,8,0,0.0051784464660601,1,1,17.0,1.0,1
0,0,2,0,0,0,3,0,0.158852344296711,0,0,0.82,1.0,0
1,0,0,0,0,1,5,0,0.0134359692092372,1,0,0.95,8.0,1
1,0,0,0,0,0,0,0,0.0065780265920223,1,1,37.79,21.0,1
1,0,2,0,0,0,9,0,0.0064380685794261,1,0,44.21,1.0,1
1,0,0,0,0,0,4,0,0.0005598320503848,1,0,1.08,2.0,1
1,1,2,0,0,0,0,0,0.158852344296711,0,0,2.16,2.0,0
1,1,5,0,0,0,7,0,0.0009797060881735,1,0,3.92,1.0,1
1,0,2,0,0,2,6,1,0.0058782365290412,0,0,12.12,12.0,0
0,0,2,0,0,0,4,1,0.1577326801959412,1,0,11.15,11.0,1
1,2,2,0,0,0,1,1,0.1577326801959412,1,0,1.13,3.0,1
1,0,0,2,1,3,21,0,0.0008397480755773,1,0,33.3,178.0,1
1,0,2,0,0,0,0,1,0.0134359692092372,0,0,0.75,0.0,0
0,2,0,0,0,0,2,0,0.158852344296711,0,0,79.75,1.0,0
1,1,0,0,0,0,2,1,0.0011196641007697,0,0,1.14,1.0,0
1,0,2,0,0,0,2,1,0.0067179846046186,1,0,0.71,1.0,1
0,1,0,0,0,0,7,0,0.0660601819454163,0,0,1.67,8.0,0
1,0,0,0,0,0,0,0,0.0001399580125962,1,0,0.2,28.0,1
1,0,2,0,0,0,9,1,0.1577326801959412,1,1,6.97,9.0,1
1,0,0,1,0,4,13,0,0.0078376487053883,1,1,0.9,1.0,1
1,1,2,0,0,0,0,1,0.0079776067179846,0,0,0.16,0.0,0
1,0,0,0,0,0,4,1,0.0090972708187543,1,0,51.24,51.0,1
1,0,0,0,0,0,0,0,0.0065780265920223,0,0,0.16,0.0,0
1,0,2,0,0,0,1,0,0.0036389083275017,1,0,0.1,0.0,1
0,0,5,0,0,0,0,0,0.0594821553533939,0,0,0.93,1.0,0
1,1,2,0,0,0,20,0,0.158852344296711,1,0,10.64,1940.0,1
0,1,3,0,0,0,1,0,0.158852344296711,0,0,8.19,8.0,0
1,0,0,0,0,1,15,0,0.0001399580125962,1,0,135.97,136.0,0
1,2,0,0,0,0,2,0,0.0005598320503848,1,0,1.87,2.0,1
1,0,3,0,0,0,0,1,0.0134359692092372,0,0,23.27,23.0,0
1,1,0,0,0,0,4,1,0.1577326801959412,0,0,0.9,1.0,0
1,1,2,0,0,0,8,0,0.158852344296711,0,0,13.06,13.0,0
1,0,0,0,0,0,5,0,0.0279916025192442,0,0,0.97,1.0,0
1,1,0,0,0,0,10,1,0.0011196641007697,1,0,35.84,36.0,1
1,0,0,1,1,2,15,0,0.0279916025192442,1,0,1.15,5.0,1
1,0,2,0,0,0,4,1,0.1577326801959412,1,0,1.96,2.0,1
1,2,0,0,0,1,1,0,0.0001399580125962,1,0,1.04,1.0,1
1,2,0,0,1,2,2,0,0.0001399580125962,1,0,124.2,124.0,1
1,0,0,0,0,0,4,0,0.158852344296711,1,0,18.96,98.0,1
1,1,3,0,0,0,0,1,0.0012596221133659,0,0,0.88,0.0,0
1,0,0,0,1,0,6,0,0.0074177746675997,1,0,30.12,1.0,1
1,0,5,0,0,0,0,1,0.1577326801959412,0,0,1.37,1.0,0
0,1,0,0,0,0,0,1,0.1577326801959412,0,0,3.2,3.0,0
1,1,3,0,0,0,6,0,0.0660601819454163,1,1,241.96,242.0,1
1,2,3,0,0,0,1,0,0.0054583624912526,0,0,1.06,1.0,0
1,0,0,0,0,0,1,1,0.158852344296711,0,0,4.9,5.0,0
1,0,0,0,0,0,5,0,0.0001399580125962,1,0,1.13,1.0,1
1,0,2,0,0,1,1,0,0.158852344296711,1,0,14.25,58.0,1
1,0,0,0,0,0,2,0,0.158852344296711,0,0,3.19,3.0,0
1,2,0,0,0,0,1,1,0.1577326801959412,1,0,16.83,21.0,1
1,2,2,0,0,0,0,0,0.0594821553533939,0,0,57.92,21.0,0
0,0,0,0,0,0,1,0,0.0023792862141357,1,1,2.0,58.0,1
1,0,2,0,0,0,1,0,0.0029391182645206,1,1,19.36,137.0,1
1,0,0,0,0,0,0,0,0.0138558432470258,0,0,1.15,1.0,0
1,0,0,0,0,0,1,1,0.158852344296711,0,0,1.67,2.0,0
1,0,0,0,0,0,8,1,0.0134359692092372,1,1,1.23,1.0,1
1,1,5,0,0,0,0,0,0.158852344296711,1,0,0.82,2.0,1
1,0,0,1,6,1,14,0,0.158852344296711,1,1,7.14,19.0,1
1,2,5,0,0,0,0,0,0.0065780265920223,1,1,1.1,423.0,1
1,2,0,1,0,0,2,0,0.0001399580125962,1,0,30.08,30.0,1
1,2,0,0,0,1,2,1,0.158852344296711,1,0,0.72,1.0,1
0,0,0,0,0,0,1,1,0.158852344296711,0,0,0.85,1.0,0
1,0,0,0,0,0,9,0,0.0040587823652904,1,0,3.67,4.0,1
1,0,2,0,0,0,7,0,0.0043386983904828,1,0,0.11,10.0,1
1,2,5,0,0,0,1,0,0.0594821553533939,1,0,3.92,98.0,1
1,0,2,0,0,0,9,0,0.0134359692092372,1,1,1.0,2.0,1
1,1,0,0,0,0,12,1,0.0134359692092372,0,0,1.28,2.0,0
0,2,2,0,0,0,0,0,0.0100769769069279,0,0,0.59,1.0,0
1,0,2,0,0,0,2,0,0.006997900629811,1,0,0.78,22.0,1
1,1,2,0,0,0,3,0,0.0001399580125962,0,0,30.31,30.0,0
0,1,2,0,0,0,0,1,0.0079776067179846,0,0,0.28,0.0,0
0,0,3,0,0,0,0,1,0.1577326801959412,0,0,1.13,1.0,0
1,2,0,0,0,0,1,1,0.1577326801959412,1,1,9.1,6.0,1
1,2,0,0,0,0,1,0,0.158852344296711,0,0,137.3,0.0,0
1,0,0,0,0,0,1,0,0.0004198740377886,0,0,0.93,1.0,0
0,0,2,0,0,0,0,0,0.0085374387683694,1,1,1.69,2.0,1
1,2,2,0,1,2,8,0,0.0026592022393282,1,0,12.19,12.0,1
1,0,2,0,0,0,0,0,0.0037788663400979,0,0,5.97,27.0,0
1,0,2,0,0,0,0,1,0.1577326801959412,0,0,38.97,39.0,0
0,0,2,0,0,0,1,0,0.0005598320503848,0,0,106.87,5.0,0
1,1,0,0,0,0,14,0,0.158852344296711,1,1,109.74,110.0,1
1,0,2,0,0,0,1,0,0.0660601819454163,0,0,1.04,1.0,0
1,2,0,0,0,0,3,0,0.0594821553533939,1,0,6.28,302.0,1
1,0,2,0,0,0,5,1,0.0134359692092372,1,0,2.84,1.0,1
1,0,2,0,0,0,0,0,0.0033589923023093,0,0,14.92,69.0,0
1,0,0,0,0,0,5,0,0.0029391182645206,1,0,0.29,0.0,1
1,0,0,0,0,0,3,0,0.0100769769069279,0,0,1.27,7.0,0
1,0,2,0,0,0,1,0,0.0009797060881735,1,0,0.91,1.0,1
