Model Rank,Model Feature,Model Importance,LIME Feature,LIME Importance,SHAP Feature,SHAP Importance
1,is_recid,0.9749432802200317,is_recid,-0.9206551633902064,is_recid,-5.416038513183594
2,sex,0.0035132761113345623,custody_length_of_stay,-0.007734529747069,custody_length_of_stay,-0.0763493329286575
3,custody_length_of_stay,0.003200066974386573,c_charge_desc,-0.0024250546328712,c_charge_desc,-0.0342160761356353
4,priors_count,0.002672928385436535,juv_fel_count,0.0015101507180224,priors_count,0.0322675965726375
5,juv_other_count,0.00261164759285748,c_charge_degree,0.0014548982163187,c_charge_degree,0.0076856184750795
6,c_charge_degree,0.0023962189443409443,juv_misd_count,-0.0010493600071131,race,0.004509262740612
7,c_charge_desc,0.002381197875365615,juv_other_count,-0.0009201903664477,juv_other_count,-0.0037957010790705
8,juv_fel_count,0.0023108739405870438,is_violent_recid,0.0008770942408015,c_length_of_stay,0.0032056092750281
9,c_length_of_stay,0.002138181822374463,sex,0.0007759065074884,juv_fel_count,0.0020382814109325
10,age_cat,0.0020672190003097057,age_cat,0.0005533359633899,sex,-0.0010993015021085
